id,title,url,registry_type,source_type,section,tags,date,geography,topic_group,used_in_data_hub_catalogue,used_in_research_catalogue,used_in_policy_catalogue,used_in_grounded_qa,valid_url,notes
data-hub-vacancies-and-skills-gaps-in-the-south-west-of-england-by-sector,Vacancies and skills gaps in the South West of England by sector,https://www.thebrunelcentre.co.uk/data-hub/vacancies-and-skills-gaps-in-the-south-west-of-england-by-sector,webpage,dataHubPost,data-hub,data-hub|skills|economy,,West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-skills-gaps-in-the-south-west-of-england,Skills gaps in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/skills-gaps-in-the-south-west-of-england,webpage,dataHubPost,data-hub,data-hub|skills|economy,,West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-skill-shortage-vacancies-in-the-south-west-of-england,Skill-shortage vacancies in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/skill-shortage-vacancies-in-the-south-west-of-england,webpage,dataHubPost,data-hub,data-hub|skills|economy,,West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-land-use-within-the-greater-west-of-england,Land use within the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/land-use-within-the-greater-west-of-england,webpage,dataHubPost,data-hub,data-hub|housing|land,,Greater West of England,Housing,yes,no,no,yes,yes,
data-hub-non-developed-land-use-across-the-greater-west-of-england,Non-developed land use across the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/non-developed-land-use-across-the-greater-west-of-england,webpage,dataHubPost,data-hub,data-hub|housing|land,,Greater West of England,Housing,yes,no,no,yes,yes,
data-hub-developed-land-use-in-the-greater-west-of-england,Developed land use in the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/developed-land-use-in-the-greater-west-of-england,webpage,dataHubPost,data-hub,data-hub|housing|land,,Greater West of England,Housing,yes,no,no,yes,yes,
data-hub-public-housing-stock-and-vacant-dwellings-in-the-greater-west-of-england-2001-onwards,"Public housing stock and vacant dwellings in the Greater West of England, 2001 onwards",https://www.thebrunelcentre.co.uk/data-hub/public-housing-stock-and-vacant-dwellings-in-the-greater-west-of-england-2001-onwards,webpage,dataHubPost,data-hub,data-hub|housing|infrastructure|land,,Greater West of England,Housing,yes,no,no,yes,yes,
data-hub-net-additional-dwellings-in-the-greater-west-of-england-2001-2024,"Net additional dwellings in the Greater West of England, 2001-2024",https://www.thebrunelcentre.co.uk/data-hub/net-additional-dwellings-in-the-greater-west-of-england-2001-2024,webpage,dataHubPost,data-hub,data-hub|housing|infrastructure|land,,Greater West of England,Housing,yes,no,no,yes,yes,
data-hub-housebuilding-activity-in-the-greater-west-of-england-2014-onwards,"Housebuilding activity in the Greater West of England, 2014 onwards",https://www.thebrunelcentre.co.uk/data-hub/housebuilding-activity-in-the-greater-west-of-england-2014-onwards,webpage,dataHubPost,data-hub,data-hub|housing|infrastructure|land,,Greater West of England,Housing,yes,no,no,yes,yes,
data-hub-spatial-distribution-of-housing-stock-in-the-greater-west-of-england-2024,"Spatial distribution of housing stock in the Greater West of England, 2024",https://www.thebrunelcentre.co.uk/data-hub/spatial-distribution-of-housing-stock-in-the-greater-west-of-england-2024,webpage,dataHubPost,data-hub,data-hub|housing|infrastructure|land,,Greater West of England,Housing,yes,no,no,yes,yes,
data-hub-greater-west-of-england-productivity-(gva)-by-industry-group-(current-prices)-2023,"Greater West of England productivity (GVA) by industry group (current prices), 2023",https://www.thebrunelcentre.co.uk/data-hub/greater-west-of-england-productivity-(gva)-by-industry-group-(current-prices)-2023,webpage,dataHubPost,data-hub,data-hub|economy|growth,,Greater West of England,Business and industry,yes,no,no,yes,yes,
data-hub-trends-in-the-number-of-private-sector-enterprises-in-the-greater-west-of-england-the-decade-up-to-2025,"Trends in the number of private sector enterprises in the Greater West of England, the decade up to 2025",https://www.thebrunelcentre.co.uk/data-hub/trends-in-the-number-of-private-sector-enterprises-in-the-greater-west-of-england-the-decade-up-to-2025,webpage,dataHubPost,data-hub,data-hub|economy|business,,Greater West of England,Business and industry,yes,no,no,yes,yes,
data-hub-number-of-businesses-in-the-greater-west-of-england-2025,"Number of businesses in the Greater West of England, 2025",https://www.thebrunelcentre.co.uk/data-hub/number-of-businesses-in-the-greater-west-of-england-2025,webpage,dataHubPost,data-hub,data-hub|economy|business,,Greater West of England,Business and industry,yes,no,no,yes,yes,
data-hub-businesses-in-the-greater-west-of-england-by-broad-industry-groups,Businesses in the Greater West of England by broad industry groups,https://www.thebrunelcentre.co.uk/data-hub/businesses-in-the-greater-west-of-england-by-broad-industry-groups,webpage,dataHubPost,data-hub,data-hub|economy|business,,Greater West of England,Business and industry,yes,no,no,yes,yes,
data-hub-international-trade-activities-among-businesses-in-the-south-west-of-england-2023,"International trade activities among businesses in the South West of England, 2023",https://www.thebrunelcentre.co.uk/data-hub/international-trade-activities-among-businesses-in-the-south-west-of-england-2023,webpage,dataHubPost,data-hub,data-hub|economy|trade|business,,West of England,Business and industry,yes,no,no,yes,yes,
data-hub-business-sites-and-employees-linked-to-international-trade-in-the-greater-west-of-england-2023,"Business sites and employees linked to international trade in the Greater West of England, 2023",https://www.thebrunelcentre.co.uk/data-hub/business-sites-and-employees-linked-to-international-trade-in-the-greater-west-of-england-2023,webpage,dataHubPost,data-hub,data-hub|economy|trade|business,,Greater West of England,Business and industry,yes,no,no,yes,yes,
data-hub-population-of-the-greater-west-of-england-2024,"Population of the Greater West of England, 2024",https://www.thebrunelcentre.co.uk/data-hub/population-of-the-greater-west-of-england-2024,webpage,dataHubPost,data-hub,data-hub|population,,Greater West of England,Health and population,yes,no,no,yes,yes,
data-hub-population-changes-in-the-greater-west-of-england-1991-2024,"Population changes in the Greater West of England, 1991-2024",https://www.thebrunelcentre.co.uk/data-hub/population-changes-in-the-greater-west-of-england-1991-2024,webpage,dataHubPost,data-hub,data-hub|population,,Greater West of England,Health and population,yes,no,no,yes,yes,
data-hub-components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,"Components of population change in the Greater West of England, 2011/12 to 2023/24",https://www.thebrunelcentre.co.uk/data-hub/components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,webpage,dataHubPost,data-hub,data-hub|population,,Greater West of England,Health and population,yes,no,no,yes,yes,
data-hub-projected-population-change-by-age-in-the-greater-west-of-england-2022-2047,"Projected population change by age in the Greater West of England, 2022-2047",https://www.thebrunelcentre.co.uk/data-hub/projected-population-change-by-age-in-the-greater-west-of-england-2022-2047,webpage,dataHubPost,data-hub,data-hub|population,,Greater West of England,Health and population,yes,no,no,yes,yes,
data-hub-occupational-structure-of-employment-in-the-greater-west-of-england-2024,"Occupational structure of employment in the Greater West of England, 2024",https://www.thebrunelcentre.co.uk/data-hub/occupational-structure-of-employment-in-the-greater-west-of-england-2024,webpage,dataHubPost,data-hub,data-hub|employment,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-population-projections-at-local-authority-level-in-the-greater-west-of-england-2022-2047,"Population projections at local authority level in the Greater West of England, 2022-2047",https://www.thebrunelcentre.co.uk/data-hub/population-projections-at-local-authority-level-in-the-greater-west-of-england-2022-2047,webpage,dataHubPost,data-hub,data-hub|population,,Greater West of England,Health and population,yes,no,no,yes,yes,
data-hub-employment-by-occupation-in-the-greater-west-of-england-by-gender-and-local-authority,"Employment by occupation in the Greater West of England, by gender and local authority",https://www.thebrunelcentre.co.uk/data-hub/employment-by-occupation-in-the-greater-west-of-england-by-gender-and-local-authority,webpage,dataHubPost,data-hub,data-hub|employment,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-employment-by-occupation-in-the-greater-west-of-england-2004-2024,"Employment by occupation in the Greater West of England, 2004-2024",https://www.thebrunelcentre.co.uk/data-hub/employment-by-occupation-in-the-greater-west-of-england-2004-2024,webpage,dataHubPost,data-hub,data-hub|employment,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-trends-in-greenhouse-gas-emissions-in-the-greater-west-of-england,Trends in greenhouse gas emissions in the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/trends-in-greenhouse-gas-emissions-in-the-greater-west-of-england,webpage,dataHubPost,data-hub,data-hub|environment|sustainability,,Greater West of England,Environment and sustainability,yes,no,no,yes,yes,
data-hub-trends-over-time-in-sustained-destinations-following-16–18-study-in-the-greater-west-of-england,Trends over time in sustained destinations following 16–18 study in the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/trends-over-time-in-sustained-destinations-following-16%E2%80%9318-study-in-the-greater-west-of-england,webpage,dataHubPost,data-hub,data-hub|employment|skills,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-sustained-destinations-following-16-18-study-in-the-greater-west-of-england-2022-23,"Sustained destinations following 16-18 study in the Greater West of England, 2022/23",https://www.thebrunelcentre.co.uk/data-hub/sustained-destinations-following-16-18-study-in-the-greater-west-of-england-2022-23,webpage,dataHubPost,data-hub,data-hub|employment|skills,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-education-and-training-participation-by-characteristics-in-the-greater-west-of-england-2025,"Education and training participation by characteristics in the Greater West of England, 2025",https://www.thebrunelcentre.co.uk/data-hub/education-and-training-participation-by-characteristics-in-the-greater-west-of-england-2025,webpage,dataHubPost,data-hub,data-hub|employment|inactivity|skills,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-neet-and-activity-not-known-among-16--and-17-year-olds-in-the-greater-west-of-england-2025,"NEET and activity not known among 16- and 17-year-olds in the Greater West of England, 2025",https://www.thebrunelcentre.co.uk/data-hub/neet-and-activity-not-known-among-16--and-17-year-olds-in-the-greater-west-of-england-2025,webpage,dataHubPost,data-hub,data-hub|inactivity|employment,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-neet-or-activity-not-known-by-characteristic-among-16--and-17-year-olds-in-the-greater-west-of-england-2025,"NEET or activity not known by characteristic among 16- and 17-year-olds in the Greater West of England, 2025",https://www.thebrunelcentre.co.uk/data-hub/neet-or-activity-not-known-by-characteristic-among-16--and-17-year-olds-in-the-greater-west-of-england-2025,webpage,dataHubPost,data-hub,data-hub|inactivity|employment,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-education-employment-and-neet-outcomes-among-young-people-in-the-greater-west-of-england-aged-16–24,"Education, employment and NEET outcomes among young people in the Greater West of England aged 16–24",https://www.thebrunelcentre.co.uk/data-hub/education-employment-and-neet-outcomes-among-young-people-in-the-greater-west-of-england-aged-16%E2%80%9324,webpage,dataHubPost,data-hub,data-hub|employment|inactivity|skills,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-education-and-training-participation-of-16--and-17-year-olds-in-the-greater-west-of-england-2025,"Education and training participation of 16- and 17-year-olds in the Greater West of England, 2025",https://www.thebrunelcentre.co.uk/data-hub/education-and-training-participation-of-16--and-17-year-olds-in-the-greater-west-of-england-2025,webpage,dataHubPost,data-hub,data-hub|skills|employment|inactivity,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-housing-affordability-ratios-across-local-authorities-in-the-greater-west-of-england-2024,"Housing affordability ratios across local authorities in the Greater West of England, 2024",https://www.thebrunelcentre.co.uk/data-hub/housing-affordability-ratios-across-local-authorities-in-the-greater-west-of-england-2024,webpage,dataHubPost,data-hub,data-hub|housing|land,,Greater West of England,Housing,yes,no,no,yes,yes,
data-hub-life-expectancy-inequalities-in-the-south-west-of-england,Life expectancy inequalities in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/life-expectancy-inequalities-in-the-south-west-of-england,webpage,dataHubPost,data-hub,data-hub|population|health|inequality,,West of England,Health and population,yes,no,no,yes,yes,
data-hub-healthy-life-expectancy-and-mortality-in-the-south-west-of-england,Healthy life expectancy and mortality in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/healthy-life-expectancy-and-mortality-in-the-south-west-of-england,webpage,dataHubPost,data-hub,data-hub|health|population|inequality,,West of England,Health and population,yes,no,no,yes,yes,
data-hub-greenhouse-gas-emissions-per-head-and-sectoral-composition-in-the-greater-west-of-england-2023,"Greenhouse gas emissions per head and sectoral composition in the Greater West of England, 2023",https://www.thebrunelcentre.co.uk/data-hub/greenhouse-gas-emissions-per-head-and-sectoral-composition-in-the-greater-west-of-england-2023,webpage,dataHubPost,data-hub,data-hub|environment|sustainability,,Greater West of England,Environment and sustainability,yes,no,no,yes,yes,
data-hub-greenhouse-gas-emissions-in-the-greater-west-of-england-2023,"Greenhouse gas emissions in the Greater West of England, 2023",https://www.thebrunelcentre.co.uk/data-hub/greenhouse-gas-emissions-in-the-greater-west-of-england-2023,webpage,dataHubPost,data-hub,data-hub|environment|sustainability,,Greater West of England,Environment and sustainability,yes,no,no,yes,yes,
data-hub-comparisons-of-greenhouse-gas-emissions-trends-across-the-greater-west-of-england-and-selected-uk-areas,Comparisons of greenhouse gas emissions trends across the Greater West of England and selected UK areas,https://www.thebrunelcentre.co.uk/data-hub/comparisons-of-greenhouse-gas-emissions-trends-across-the-greater-west-of-england-and-selected-uk-areas,webpage,dataHubPost,data-hub,data-hub|environment|sustainability,,Greater West of England,Environment and sustainability,yes,no,no,yes,yes,
data-hub-high-growth-enterprises-in-the-greater-west-of-england-2019-2024,"High growth enterprises in the Greater West of England, 2019-2024",https://www.thebrunelcentre.co.uk/data-hub/high-growth-enterprises-in-the-greater-west-of-england-2019-2024,webpage,dataHubPost,data-hub,data-hub|business|growth|economy,,Greater West of England,Business and industry,yes,no,no,yes,yes,
data-hub-foreign-direct-investment-in-the-south-west-(total-number-of-projects-and-associated-jobs),Foreign direct investment in the South West (total number of projects and associated jobs),https://www.thebrunelcentre.co.uk/data-hub/foreign-direct-investment-in-the-south-west-(total-number-of-projects-and-associated-jobs),webpage,dataHubPost,data-hub,data-hub|economy|international,,South West of England,Business and industry,yes,no,no,yes,yes,
data-hub-gdp-variation-across-the-uk-and-greater-west-of-england-2023,"GDP variation across the UK and Greater West of England, 2023",https://www.thebrunelcentre.co.uk/data-hub/gdp-variation-across-the-uk-and-greater-west-of-england-2023,webpage,dataHubPost,data-hub,data-hub|economy|productivity|growth,,Greater West of England,Economy and productivity,yes,no,no,yes,yes,
