slug,title,post_url,category,github_url,github_path,zip_folder,has_matching_source_url,mapped_source_title,notes
training-and-workforce-development-in-the-south-west-of-england,Training and workforce development in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/training-and-workforce-development-in-the-south-west-of-england,labour-market,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/labour-market/Training%20and%20workforce%20development,data/labour-market/Training and workforce development,Datahub-data-main/data/labour-market/Training and workforce development,yes,Training and workforce development in the South West of England,
employer-training-activity-in-the-south-west-of-england,Employer training activity in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/employer-training-activity-in-the-south-west-of-england,labour-market,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/labour-market/Employer%20training%20activity,data/labour-market/Employer training activity,Datahub-data-main/data/labour-market/Employer training activity,yes,Employer training activity in the South West of England,
employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,Employment rates in the Greater West of England compared to other UK regions,https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,labour-market,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/labour-market/Employment%20rates%20in%20the%20Greater%20West%20of%20England%20compared%20to%20other%20UK%20regions,data/labour-market/Employment rates in the Greater West of England compared to other UK regions,Datahub-data-main/data/labour-market/Employment rates in the Greater West of England compared to other UK regions,yes,Employment rates in the Greater West of England compared to other UK regions,
employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,"Employment rates in the Greater West of England by sex and age, 2025",https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,labour-market,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/labour-market/Employment%20rates%20in%20the%20Greater%20West%20of%20England%20by%20sex%20and%20age%2C%202025,"data/labour-market/Employment rates in the Greater West of England by sex and age, 2025","Datahub-data-main/data/labour-market/Employment rates in the Greater West of England by sex and age, 2025",yes,"Employment rates in the Greater West of England by sex and age, 2025",
annual-change-in-greenhouse-gas-emissions-in-the-greater-west-of-england-2022–2023,"Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023",https://www.thebrunelcentre.co.uk/data-hub/annual-change-in-greenhouse-gas-emissions-in-the-greater-west-of-england-2022–2023,environment,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/environment/Annual%20change%20in%20greenhouse%20gas%20emissions%20in%20the%20Greater%20West%20of%20England%2C%202022%E2%80%932023,"data/environment/Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023","Datahub-data-main/data/environment/Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023",no,,
vacancies-and-skills-gaps-in-the-south-west-of-england-by-sector,Vacancies and skills gaps in the South West of England by sector,https://www.thebrunelcentre.co.uk/data-hub/vacancies-and-skills-gaps-in-the-south-west-of-england-by-sector,labour-market,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/labour-market/Vacancies%20and%20skills%20gaps%20by%20industry,data/labour-market/Vacancies and skills gaps by industry,Datahub-data-main/data/labour-market/Vacancies and skills gaps by industry,yes,Vacancies and skills gaps in the South West of England by sector,
skills-gaps-in-the-south-west-of-england,Skills gaps in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/skills-gaps-in-the-south-west-of-england,labour-market,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/labour-market/Skills%20gaps,data/labour-market/Skills gaps,Datahub-data-main/data/labour-market/Skills gaps,yes,Skills gaps in the South West of England,
skill-shortage-vacancies-in-the-south-west-of-england,Skill-shortage vacancies in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/skill-shortage-vacancies-in-the-south-west-of-england,labour-market,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/labour-market/Skill-shortage%20vacancies,data/labour-market/Skill-shortage vacancies,Datahub-data-main/data/labour-market/Skill-shortage vacancies,yes,Skill-shortage vacancies in the South West of England,
land-use-within-the-greater-west-of-england,Land use within the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/land-use-within-the-greater-west-of-england,housing-and-land-use,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/housing-and-land-use/Land%20use%20within%20the%20Greater%20West%20of%20England,data/housing-and-land-use/Land use within the Greater West of England,Datahub-data-main/data/housing-and-land-use/Land use within the Greater West of England,yes,Land use within the Greater West of England,
non-developed-land-use-across-the-greater-west-of-england,Non-developed land use across the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/non-developed-land-use-across-the-greater-west-of-england,housing-and-land-use,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/housing-and-land-use/Non-developed%20land%20use%20across%20the%20Greater%20West%20of%20England,data/housing-and-land-use/Non-developed land use across the Greater West of England,Datahub-data-main/data/housing-and-land-use/Non-developed land use across the Greater West of England,yes,Non-developed land use across the Greater West of England,
